Location   Name   ID   Count   Slots
Charm   Empty   0   0   0
Ear   Empty   0   0   0
Head   Skull-shaped Barbute   4301   1   6
Head-Slot1   Empty   0   0   0
Head-Slot2   Empty   0   0   0
Face   Worked Dragonskin Mask   27114   1   6
Face-Slot1   Empty   0   0   0
Ear   Empty   0   0   0
Neck   Empty   0   0   0
Shoulders   Empty   0   0   0
Arms   Mithril Vambraces   4411   1   6
Arms-Slot1   Empty   0   0   0
Arms-Slot2   Empty   0   0   0
Back   Empty   0   0   0
Wrist   Empty   0   0   0
Wrist   Empty   0   0   0
Range   Gloomingdeep Lantern   9979   1   6
Range-Slot1   Empty   0   0   0
Hands   Empty   0   0   0
Primary   Empty   0   0   0
Secondary   Empty   0   0   0
Fingers   Empty   0   0   0
Fingers   Empty   0   0   0
Chest   Empty   0   0   0
Legs   Empty   0   0   0
Feet   Empty   0   0   0
Waist   Empty   0   0   0
Power Source   Empty   0   0   0
Ammo   Empty   0   0   0
General1   Backpack*   32601   1   8
General1-Slot1   Heavy Dragonleg Breeches   27130   1   6
General1-Slot1-Slot1   Empty   0   0   0
General1-Slot1-Slot2   Empty   0   0   0
General1-Slot2   Heavy Dragonskin Mask   27136   1   6
General1-Slot2-Slot1   Empty   0   0   0
General1-Slot3   Light Velium Warsword   27003   1   6
General1-Slot3-Slot1   Empty   0   0   0
General1-Slot3-Slot2   Empty   0   0   0
General1-Slot4   Reinforced Dragonspine Vambraces   27123   1   6
General1-Slot4-Slot1   Empty   0   0   0
General1-Slot4-Slot2   Empty   0   0   0
General1-Slot5   Silver Etched Warhammer   6653   1   6
General1-Slot5-Slot1   Empty   0   0   0
General1-Slot5-Slot2   Empty   0   0   0
General1-Slot6   Worked Dragonhide Gauntlets   27110   1   6
General1-Slot6-Slot1   Empty   0   0   0
General1-Slot6-Slot2   Empty   0   0   0
General1-Slot7   Wrapped Entropy Serpent Spine   26035   1   6
General1-Slot7-Slot1   Empty   0   0   0
General1-Slot7-Slot2   Empty   0   0   0
General1-Slot8   Empty   0   0   0
General2   Backpack   17005   1   8
General2-Slot1   Dragon Meat   22807   1   6
General2-Slot2   Palladium Axe   5624   1   6
General2-Slot2-Slot1   Empty   0   0   0
General2-Slot2-Slot2   Empty   0   0   0
General2-Slot3   Blight, Hammer of the Scourge   11628   1   6
General2-Slot3-Slot1   Empty   0   0   0
General2-Slot3-Slot2   Empty   0   0   0
General2-Slot4   Withered Totem of Widdershins   11665   1   6
General2-Slot4-Slot1   Empty   0   0   0
General2-Slot4-Slot2   Empty   0   0   0
General2-Slot5   Decree of Quellious   20804   1   6
General2-Slot6   Withered Totem of Widdershins   11665   1   6
General2-Slot6-Slot1   Empty   0   0   0
General2-Slot6-Slot2   Empty   0   0   0
General2-Slot7   Crystalline Spear   11610   1   6
General2-Slot7-Slot1   Empty   0   0   0
General2-Slot7-Slot2   Empty   0   0   0
General2-Slot8   Mithril Vambraces   4411   1   6
General2-Slot8-Slot1   Empty   0   0   0
General2-Slot8-Slot2   Empty   0   0   0
General3   Backpack   17005   1   8
General3-Slot1   Bone Razor   11661   1   6
General3-Slot1-Slot1   Empty   0   0   0
General3-Slot1-Slot2   Empty   0   0   0
General3-Slot2   Flayed Turmoilskin Belt   2502   1   6
General3-Slot2-Slot1   Empty   0   0   0
General3-Slot3   Diamond Encrusted Staff   6674   1   6
General3-Slot3-Slot1   Empty   0   0   0
General3-Slot3-Slot2   Empty   0   0   0
General3-Slot4   Peacebringer   6646   1   6
General3-Slot4-Slot1   Empty   0   0   0
General3-Slot4-Slot2   Empty   0   0   0
General3-Slot5   Crystalline Spear   11610   1   6
General3-Slot5-Slot1   Empty   0   0   0
General3-Slot5-Slot2   Empty   0   0   0
General3-Slot6   Warhammer of Divine Grace   11611   1   6
General3-Slot6-Slot1   Empty   0   0   0
General3-Slot6-Slot2   Empty   0   0   0
General3-Slot7   Gauntlets of Mortality   26026   1   6
General3-Slot7-Slot1   Empty   0   0   0
General3-Slot7-Slot2   Empty   0   0   0
General3-Slot8   Empty   0   0   0
General4   Backpack   17005   1   8
General4-Slot1   Bladestopper   11632   1   6
General4-Slot1-Slot1   Empty   0   0   0
General4-Slot1-Slot2   Empty   0   0   0
General4-Slot2   Hardened Clay Bracelet   3212   1   6
General4-Slot2-Slot1   Empty   0   0   0
General4-Slot2-Slot2   Empty   0   0   0
General4-Slot3   Water Dragon Scales   11583   1   6
General4-Slot4   Waters of Impenetrable Aura   6678   1   6
General4-Slot4-Slot1   Empty   0   0   0
General4-Slot4-Slot2   Empty   0   0   0
General4-Slot5   Crystalline Spear   11610   1   6
General4-Slot5-Slot1   Empty   0   0   0
General4-Slot5-Slot2   Empty   0   0   0
General4-Slot6   Crystalline Spear   11610   1   6
General4-Slot6-Slot1   Empty   0   0   0
General4-Slot6-Slot2   Empty   0   0   0
General4-Slot7   Shissar Nullifier Staff   6676   1   6
General4-Slot7-Slot1   Empty   0   0   0
General4-Slot7-Slot2   Empty   0   0   0
General4-Slot8   Empty   0   0   0
General5   Backpack   17005   1   8
General5-Slot1   Ravenscale Neckguard   3163   1   6
General5-Slot1-Slot1   Empty   0   0   0
General5-Slot2   Serpent's Tooth   7257   1   6
General5-Slot2-Slot1   Empty   0   0   0
General5-Slot2-Slot2   Empty   0   0   0
General5-Slot3   Sebilite Scale Mantle   3204   1   6
General5-Slot3-Slot1   Empty   0   0   0
General5-Slot4   Empty   0   0   0
General5-Slot5   Sebilite Croaking Dirk   7222   1   6
General5-Slot5-Slot1   Empty   0   0   0
General5-Slot5-Slot2   Empty   0   0   0
General5-Slot6   Crystalline Spear   11610   1   6
General5-Slot6-Slot1   Empty   0   0   0
General5-Slot6-Slot2   Empty   0   0   0
General5-Slot7   Empty   0   0   0
General5-Slot8   Empty   0   0   0
General6   Backpack   17005   1   8
General6-Slot1   Shissar Guardian Staff   6677   1   6
General6-Slot1-Slot1   Empty   0   0   0
General6-Slot1-Slot2   Empty   0   0   0
General6-Slot2   Executioners Hood   2468   1   6
General6-Slot2-Slot1   Empty   0   0   0
General6-Slot2-Slot2   Empty   0   0   0
General6-Slot3   Wand of Lava   12503   1   6
General6-Slot3-Slot1   Empty   0   0   0
General6-Slot4   Empty   0   0   0
General6-Slot5   Empty   0   0   0
General6-Slot6   Cobalt Helm   4515   1   6
General6-Slot6-Slot1   Empty   0   0   0
General6-Slot6-Slot2   Empty   0   0   0
General6-Slot7   Mrylokar's Helm   4550   1   6
General6-Slot7-Slot1   Empty   0   0   0
General6-Slot7-Slot2   Empty   0   0   0
General6-Slot8   Blood Ember Helm   4522   1   6
General6-Slot8-Slot1   Empty   0   0   0
General6-Slot8-Slot2   Empty   0   0   0
General7   Backpack   17005   1   8
General7-Slot1   Iron Ration   13005   1   6
General7-Slot2   Staff of the Earthcrafter   11649   1   6
General7-Slot2-Slot1   Empty   0   0   0
General7-Slot2-Slot2   Empty   0   0   0
General7-Slot3   White Wolf-hide Cloak   2346   1   6
General7-Slot3-Slot1   Empty   0   0   0
General7-Slot4   Jacinth   10053   4   6
General7-Slot5   Eye of Innoruuk   20656   1   6
General7-Slot5-Slot1   Empty   0   0   0
General7-Slot6   Empty   0   0   0
General7-Slot7   Empty   0   0   0
General7-Slot8   Empty   0   0   0
General8   Black Blade of Tormenting   25091   1   6
General8-Slot1   Empty   0   0   0
General8-Slot2   Empty   0   0   0
General9   Empty   0   0   0
General10   Empty   0   0   0
Held   Empty   0   0   0
Bank1   Backpack*   32601   1   8
Bank1-Slot1   White Dragon Scales   11602   1   6
Bank1-Slot2   White Dragon Scales   11602   1   6
Bank1-Slot3   White Dragon Scales   11602   1   6
Bank1-Slot4   White Dragon Scales   11602   1   6
Bank1-Slot5   White Dragon Scales   11602   1   6
Bank1-Slot6   White Dragon Scales   11602   1   6
Bank1-Slot7   White Dragon Scales   11602   1   6
Bank1-Slot8   Empty   0   0   0
Bank2   Backpack   17005   1   8
Bank2-Slot1   Empty   0   0   0
Bank2-Slot2   Empty   0   0   0
Bank2-Slot3   Platinum Jacinth Wedding Ring   14699   1   6
Bank2-Slot3-Slot1   Empty   0   0   0
Bank2-Slot4   Platinum Jacinth Wedding Ring   14699   1   6
Bank2-Slot4-Slot1   Empty   0   0   0
Bank2-Slot5   Platinum Jacinth Wedding Ring   14699   1   6
Bank2-Slot5-Slot1   Empty   0   0   0
Bank2-Slot6   Platinum Jacinth Wedding Ring   14699   1   6
Bank2-Slot6-Slot1   Empty   0   0   0
