Location	Name	ID	Count	Slots
Charm	Empty	0	0	0
Ear	Earring of Essence	14714	1	6
Ear-Slot1	Empty	0	0	0
Head	Velium Etched Helm	62311	1	6
Head-Slot1	Empty	0	0	0
Head-Slot2	Empty	0	0	0
Face	Tribal War Mask	4200	1	6
Face-Slot1	Empty	0	0	0
Ear	Earring of Bashing	1538	1	6
Ear-Slot1	Empty	0	0	0
Neck	Empty	0	0	0
Shoulders	Barbed Dragonscale Pauldrons	25028	1	6
Shoulders-Slot1	Empty	0	0	0
Arms	Gladiator's Chain Sleeves	25184	1	6
Arms-Slot1	Empty	0	0	0
Arms-Slot2	Empty	0	0	0
Back	Cloak of the Ice Bear	2400	1	6
Back-Slot1	Empty	0	0	0
Wrist	Mesh Bracers	1149	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Wrist	Cobalt Bracer	4518	1	6
Wrist-Slot1	Empty	0	0	0
Wrist-Slot2	Empty	0	0	0
Range	Ice Silk Strung Bow	62315	1	6
Range-Slot1	Empty	0	0	0
Range-Slot2	Empty	0	0	0
Hands	Crafted Gauntlets	4178	1	6
Hands-Slot1	Empty	0	0	0
Hands-Slot2	Empty	0	0	0
Primary	Lamentation	5157	1	6
Primary-Slot1	Wulfenite Segment	51725	1	6
Primary-Slot2	Empty	0	0	0
Secondary	Exquisite Velium Battlehammer	27026	1	6
Secondary-Slot1	Wulfenite Shard	51724	1	6
Secondary-Slot2	Empty	0	0	0
Fingers	Velium Fire Wedding Ring	30339	1	6
Fingers-Slot1	Empty	0	0	0
Fingers	Velium Fire Wedding Ring	30339	1	6
Fingers-Slot1	Empty	0	0	0
Chest	Crafted Breastplate	4174	1	6
Chest-Slot1	Empty	0	0	0
Chest-Slot2	Empty	0	0	0
Legs	Crafted Greaves	4179	1	6
Legs-Slot1	Empty	0	0	0
Legs-Slot2	Empty	0	0	0
Feet	Barbed Dragonscale Boots	25029	1	6
Feet-Slot1	Empty	0	0	0
Feet-Slot2	Empty	0	0	0
Waist	Belt of Contention	2921	1	6
Waist-Slot1	Empty	0	0	0
Power Source	Empty	0	0	0
Ammo	Empty	0	0	0
General1	Backpack	17005	1	8
General1-Slot1	Preserved Leg	13384	1	6
General1-Slot2	Key of Veeshan	20884	1	6
General1-Slot3	Minotaur Hero's Brew	19198	10	6
General1-Slot4	Spider Legs	13417	1	6
General1-Slot5	Crystalline Silk	25306	8	6
General1-Slot6	Minotaur Hero's Brew	19198	20	6
General1-Slot7	Minotaur Hero's Brew	19198	20	6
General1-Slot8	Minotaur Hero's Brew	19198	20	6
General2	Backpack	17005	1	8
General2-Slot1	Shin Greaves	4116	1	6
General2-Slot1-Slot1	Empty	0	0	0
General2-Slot1-Slot2	Empty	0	0	0
General2-Slot2	Fire Opal	10031	13	6
General2-Slot3	Jacinth	10053	1	6
General2-Slot4	Sapphire	10034	3	6
General2-Slot5	Black Sapphire	10036	2	6
General2-Slot6	Ruby	10035	1	6
General2-Slot7	Star Ruby	10032	7	6
General2-Slot8	Fire Emerald	10033	4	6
General3	Backpack	17005	1	8
General3-Slot1	Phosphorous Powder	24082	54	6
General3-Slot2	Crystallized Sulfur	16976	29	6
General3-Slot3	Green Goblin Skin	22135	1	6
General3-Slot4	Crystalline Orb	10218	1	6
General3-Slot4-Slot1	Empty	0	0	0
General3-Slot5	Nodding Blue Lily	24094	50	6
General3-Slot6	Phosphorous Powder	24082	100	6
General3-Slot7	Fish Rolls	13475	17	6
General3-Slot8	Roots	13047	20	6
General4	Backpack*	32601	1	8
General4-Slot1	Wulfenite Chip	51723	1	6
General4-Slot2	Fish Rolls	13475	1	6
General4-Slot3	Cloth Cord	1007	1	6
General4-Slot3-Slot1	Empty	0	0	0
General4-Slot4	Spider Silk	13041	44	6
General4-Slot5	Bone Chips	13073	68	6
General4-Slot6	Crafted Plate Boots	4180	1	6
General4-Slot6-Slot1	Empty	0	0	0
General4-Slot6-Slot2	Empty	0	0	0
General4-Slot7	Kunzar Ku'juch	5159	1	6
General4-Slot7-Slot1	Empty	0	0	0
General4-Slot7-Slot2	Empty	0	0	0
General4-Slot8	Tome of Furious Discipline	66404	1	6
General5	Backpack	17005	1	8
General5-Slot1	Tome of Defensive Discipline	66403	1	6
General5-Slot2	Tome of Mighty Strike Discipline	66402	1	6
General5-Slot3	Nodding Blue Lily	24094	32	6
General5-Slot4	Jaundice Gem	25815	1	6
General5-Slot5	Crafted Vambraces	4176	1	6
General5-Slot5-Slot1	Empty	0	0	0
General5-Slot5-Slot2	Empty	0	0	0
General5-Slot6	Gloomingdeep Lantern	9979	1	6
General5-Slot6-Slot1	Empty	0	0	0
General5-Slot7	Skull-shaped Barbute	4301	1	6
General5-Slot7-Slot1	Empty	0	0	0
General5-Slot7-Slot2	Empty	0	0	0
General5-Slot8	Fish Rolls	13475	20	6
General6	Backpack*	32601	1	8
General6-Slot1	Water Flask	13006	7	6
General6-Slot2	Diamond	10037	1	6
General6-Slot3	Crystalline Silk Net	25648	1	6
General6-Slot4	Ball of Velium	25307	1	6
General6-Slot4-Slot1	Empty	0	0	0
General6-Slot5	Empty	0	0	0
General6-Slot6	Singing Steel Vambraces	4559	1	6
General6-Slot6-Slot1	Empty	0	0	0
General6-Slot6-Slot2	Empty	0	0	0
General6-Slot7	Corroded Plate Helmet	24933	1	6
General6-Slot7-Slot1	Empty	0	0	0
General6-Slot7-Slot2	Empty	0	0	0
General6-Slot8	Corroded Plate Bracer	24932	1	6
General6-Slot8-Slot1	Empty	0	0	0
